country,iso3,capital_lat,capital_lng,region,continent
Malta,MLT,35.898982,14.513676,Southern Europe,Europe
Marshall Islands,MHL,7.090992,171.381635,Micronesia,Oceania
Mauritania,MRT,18.079238,-15.978007,Western Africa,Africa
Mauritius,MUS,-20.163728,57.504533,Eastern Africa,Africa
Mayotte,MYT,-12.780586,45.227991,Eastern Africa,Africa
Mexico,MEX,19.43263,-99.133178,Central America,North America
Moldova,MDA,47.024471,28.832253,Eastern Europe,Europe
Monaco,MCO,43.732349,7.427683,Western Europe,Europe
Mongolia,MNG,47.918468,106.917702,Eastern Asia,Asia
Montserrat,MSR,50.371266,-4.142566,Caribbean,Europe
Morocco,MAR,34.022405,-6.834543,Northern Africa,North America
Mozambique,MOZ,-25.966213,32.56745,Eastern Africa,Africa
Namibia,NAM,-22.574392,17.079069,Southern Africa,Africa
Nepal,NPL,27.708317,85.320582,Southern and Central Asia,Asia
Netherlands,NLD,52.37276,4.893604,Western Europe,Europe
New Zealand,NZL,-41.288795,174.777211,Australia and New Zealand,Oceania
Nicaragua,NIC,12.145991,-86.274666,Central America,North America
Niger,NER,13.524834,2.109823,Western Africa,Africa
Nigeria,NGA,9.06433,7.489297,Western Africa,Africa
Norfolk Island,NFK,17.971215,-76.792813,Australia and New Zealand,Oceania
North Korea,PRK,39.019474,125.753388,Eastern Asia,Asia
Northern Mariana Islands,MNP,15.190983,145.746853,Micronesia,Oceania
Norway,NOR,59.91333,10.73897,Nordic Countries,Europe
Oman,OMN,23.599786,58.54513,Middle East,Asia
Pakistan,PAK,33.693812,73.065151,Southern and Central Asia,Asia
Papua New Guinea,PNG,-9.47433,147.15995,Melanesia,Oceania
Paraguay,PRY,-25.280046,-57.634381,South America,South America
Peru,PER,-12.062106,-77.036526,South America,South America
Philippines,PHL,14.590622,120.97997,Southeast Asia,Asia
Poland,POL,52.233717,21.071411,Eastern Europe,Europe
Portugal,PRT,38.707751,-9.136592,Southern Europe,Europe
Puerto Rico,PRI,18.465299,-66.116666,Caribbean,North America
Qatar,QAT,25.285633,51.526416,Middle East,Asia
Republic of the Congo,COG,-4.269441,15.271226,Central Africa,Africa
Romania,ROU,44.436141,26.10272,Eastern Europe,Europe
Russia,RUS,55.750446,37.617494,Eastern Europe,Europe
Rwanda,RWA,-1.88596,30.129675,Eastern Africa,Africa
Réunion,REU,48.935773,2.358023,Eastern Africa,Africa
Saint Helena,SHN,37.210443,-76.773893,Western Africa,Africa
Saint Kitts and Nevis,KNA,17.296092,-62.722301,Caribbean,North America
Saint Pierre and Miquelon,SPM,48.383272,7.471873,North America,North America
Samoa,WSM,-13.834369,-171.769279,Polynesia,Oceania
